Name,Rating,Reviews,Location and Description,Salaries,Interviews,Jobs
L&T Finance,3.9,(4.4k),NBFC | Mumbai +619 other locations,11.8k Salaries,207 Interviews,-- Jobs
CARS24,3.4,(4.4k),Internet | Gurgaon / Gurugram +173 other locations,15.2k Salaries,393 Interviews,98 Jobs
Randstad,3.7,(4.4k),Recruitment | Hyderabad / Secunderabad +344 other locations,15.9k Salaries,309 Interviews,6 Jobs
R1 RCM,3.8,(4.3k),BPO | New Delhi +46 other locations,20.9k Salaries,347 Interviews,147 Jobs
Utkarsh Small Finance Bank,3.6,(4.3k),Banking | Varanasi +396 other locations,10.7k Salaries,283 Interviews,26 Jobs
Havells,3.9,(4.3k),Electrical Equipment | Noida +250 other locations,14.6k Salaries,268 Interviews,36 Jobs
Intas Pharmaceuticals,4.1,(4.3k),Pharma | Ahmedabad +145 other locations,17.1k Salaries,249 Interviews,46 Jobs
Hyundai Motor India Limited,4.1,(4.3k),Automobile | Chennai +285 other locations,13.7k Salaries,312 Interviews,4 Jobs
Deutsche Bank,3.9,(4.2k),Banking | Pune +42 other locations,35.3k Salaries,414 Interviews,675 Jobs
Tata AIA Life Insurance,3.9,(4.2k),Insurance | Mumbai +432 other locations,13.5k Salaries,240 Interviews,667 Jobs
Hetero,3.9,(4.2k),Pharma | Hyderabad / Secunderabad +66 other locations,15k Salaries,283 Interviews,144 Jobs
Motilal Oswal Financial Services,3.7,(4.2k),Financial Services | Mumbai +165 other locations,12.7k Salaries,528 Interviews,67 Jobs
Team Lease,3.9,(4.1k),Recruitment | Bangalore / Bengaluru +388 other locations,15.8k Salaries,240 Interviews,1 Jobs
Berger Paints,3.7,(4.1k),Chemicals | Kolkata +340 other locations,9.8k Salaries,383 Interviews,174 Jobs
Lenskart,3.2,(4.1k),Internet | New Delhi +233 other locations,12.6k Salaries,417 Interviews,118 Jobs
Bajaj Auto,3.8,(4.1k),Automobile | Pune +312 other locations,14.5k Salaries,312 Interviews,-- Jobs
Thermax Limited,4.2,(4k),Industrial Machinery | Pune +241 other locations,12.9k Salaries,319 Interviews,109 Jobs
Macleods Pharmaceuticals,3.6,(4k),Pharma | Mumbai +130 other locations,15.5k Salaries,256 Interviews,13 Jobs
Aakash Educational Services,3.2,(4k),Education & Training | New Delhi +243 other locations,13.4k Salaries,360 Interviews,79 Jobs
LG Electronics,3.9,(4k),Consumer Electronics & Appliances | Pune +294 other locations,10.9k Salaries,248 Interviews,1 Jobs
Jubilant Foods Works,3.7,(4k),Hospitality | New Delhi +256 other locations,8.8k Salaries,241 Interviews,151 Jobs
VE Commercial Vehicles,3.9,(3.9k),Automobile | Indore +153 other locations,13.1k Salaries,268 Interviews,2 Jobs
Royal Enfield,4.2,(3.9k),Automobile | Chennai +370 other locations,14.7k Salaries,191 Interviews,12 Jobs
Tata Communications,3.9,(3.9k),Telecom | Pune +101 other locations,23.4k Salaries,294 Interviews,32 Jobs
John Deere,4.0,(3.9k),Industrial Machinery | Pune +153 other locations,15k Salaries,261 Interviews,2 Jobs
Jindal Steel Limited,3.9,(3.9k),Iron & Steel | Angul +172 other locations,15.2k Salaries,396 Interviews,35 Jobs
HDFC Ergo General Insurance,3.9,(3.9k),Insurance | Mumbai +319 other locations,11.9k Salaries,187 Interviews,29 Jobs
DCB Bank,3.8,(3.9k),Banking | Mumbai +336 other locations,9.5k Salaries,217 Interviews,4 Jobs
Hindalco Industries,4.2,(3.9k),Metals & Mining | Sambalpur +124 other locations,12.1k Salaries,275 Interviews,22 Jobs
Oyo Rooms,3.1,(3.8k),Internet | Gurgaon / Gurugram +119 other locations,14.7k Salaries,251 Interviews,119 Jobs
Cummins,4.3,(3.8k),Industrial Machinery | Pune +114 other locations,15.3k Salaries,272 Interviews,10 Jobs
State Street Corporation,3.5,(3.8k),Financial Services | Bangalore / Bengaluru +33 other locations,30.6k Salaries,278 Interviews,5 Jobs
RBL Bank,3.6,(3.8k),Banking | Mumbai +282 other locations,18.1k Salaries,227 Interviews,63 Jobs
Reliance Communications,4.0,(3.8k),Telecom | Mumbai +467 other locations,9.7k Salaries,102 Interviews,-- Jobs
Carelon Global Solutions,3.9,(3.8k),Software Product | Bangalore / Bengaluru +21 other locations,26.3k Salaries,405 Interviews,33 Jobs
Alembic Pharmaceuticals,3.9,(3.7k),Pharma | Vadodara +184 other locations,15.1k Salaries,245 Interviews,63 Jobs
Pidilite Industries,4.2,(3.7k),Chemicals | Mumbai +303 other locations,11.2k Salaries,247 Interviews,-- Jobs
Bank of America,4.2,(3.7k),Banking | Gurgaon / Gurugram +35 other locations,27.8k Salaries,280 Interviews,-- Jobs
XpressBees,4.2,(3.7k),Logistics | Pune +473 other locations,8.1k Salaries,434 Interviews,12 Jobs
Subros,3.8,(3.7k),Auto Components | Noida +87 other locations,12.4k Salaries,211 Interviews,1 Jobs
PVR Inox,3.9,(3.7k),Media & Entertainment | New Delhi +150 other locations,9.3k Salaries,203 Interviews,12 Jobs
American Express,4.1,(3.7k),Financial Services | Gurgaon / Gurugram +51 other locations,24k Salaries,410 Interviews,184 Jobs
Publicis Sapient,3.4,(3.7k),IT Services & Consulting | Bangalore / Bengaluru +46 other locations,30.4k Salaries,676 Interviews,265 Jobs
Kogta Financial India Limited,4.7,(3.7k),NBFC | Jaipur +246 other locations,1.8k Salaries,186 Interviews,108 Jobs
Viatris,4.1,(3.7k),Pharma | Hyderabad / Secunderabad +82 other locations,14.1k Salaries,161 Interviews,5 Jobs
Automatic Data Processing (ADP),3.9,(3.7k),Software Product | Hyderabad / Secunderabad +40 other locations,21.8k Salaries,286 Interviews,20 Jobs
Sodexo,4.0,(3.6k),Facility Management Services | Mumbai +154 other locations,9.9k Salaries,194 Interviews,1k Jobs
Escorts Kubota Limited,4.0,(3.6k),Automobile | Faridabad +151 other locations,13k Salaries,276 Interviews,3 Jobs
PNB MetLife,3.4,(3.6k),Insurance | New Delhi +416 other locations,8k Salaries,186 Interviews,2 Jobs
Aditya Birla Sun Life Insurance,4.0,(3.6k),Insurance | Mumbai +479 other locations,9.8k Salaries,172 Interviews,-- Jobs
